,snr,uqtype,trial,uqerrorf,uqtightnessf,uqerrortheta,uqtightnesstheta
0,2000,sampling,1,0.002103264259035554,0.14057938307732343,0.0030087345647062847,0.059696153593752355
1,2000,sampling,2,0.02007726968399091,0.13761948806107738,0.0031762003298573156,0.030020029765375628
2,2000,sampling,3,0.036703958366730446,0.12402529329954806,0.0035600317588012037,0.020915540757877882
3,2000,sampling,4,0.038832851160482976,0.13385690906174663,0.007528560392769347,0.01855278305110744
4,2000,sampling,5,0.0016020657688007793,0.12672251803963108,0.004016944556586298,0.032183206940523956
5,2000,optimization,1,0.0,0.31459899084024834,0.0,9.822608114186808
6,2000,optimization,2,0.0035066436941558255,0.28134878146050013,0.0,11.112706060304868
7,2000,optimization,3,0.00979084835962513,0.1958908371976315,2.3853577808937558e-05,10.944313793713267
8,2000,optimization,4,0.0018301423256757287,0.28072403888566444,0.0,9.392593918887972
9,2000,optimization,5,0.002044076755852215,0.2918085744116117,0.0,9.46361616101988
10,100,sampling,1,0.0573797602879287,0.7799257030821115,0.06831687181459273,0.0010347966192662955
11,100,sampling,2,0.008753295719026244,0.7574587782026597,0.02868009459197434,0.0034224406205126327
12,100,sampling,3,0.0015647729840314332,0.7024137045429046,0.02381186335071544,0.0011597147574156363
13,100,sampling,4,0.0,0.7609068957489789,0.01250160133949425,0.0012638547974220995
14,100,sampling,5,0.00528684318685634,0.7174055814468314,0.02692343808587335,0.0017307829161688853
15,100,optimization,1,0.019984471462400292,0.38148216957840375,0.0,14.973956077020391
16,100,optimization,2,0.0022087982525811427,0.3618528596557955,0.0,26.333740526038262
17,100,optimization,3,0.018882214027900524,0.41902172344098676,0.0,15.15662972658671
18,100,optimization,4,0.01801560465355775,0.41407653200940325,0.0,16.401785556568967
19,100,optimization,5,0.0022532639597156578,0.44345423744660883,0.00029877533261569967,20.07555688182482
