,name,method,trial,uqerrorf,uqtightnessf,uqerrortheta,uqtightnesstheta
0,2000,mc,1,0.062465064609712004,5.363356527352783,0.017951732523791772,8.655413376442162
1,2000,mc,2,0.06833691423052149,3.895796917149534,0.0,8.314070810525626
2,2000,mc,3,0.041608854020530245,3.4948212189126115,0.03205432548159039,16.341500609103498
3,2000,mc,4,0.05617980222763984,3.532186261858689,0.0,21.788984439836117
4,2000,mc,5,0.038487479502831386,5.267484119125145,0.0,23.240942844405325
5,2000,fci,1,0.06488631752874102,3.8511829213960005,0.0,26.961962263379476
6,2000,fci,2,0.05480180814664808,2.530824540855864,0.0,32.46386170042515
7,2000,fci,3,0.05881094445319958,2.1323333807301967,0.0006146637273104455,52.778408137833964
8,2000,fci,4,0.14000652095497154,2.5867995687850613,0.0,77.52515188801594
9,2000,fci,5,0.0875933769109219,3.2507562108456387,0.005103462259097931,42.11000459420178
10,100,mc,1,0.17466103817190864,6.1158194097134055,0.0,12.362960428334036
11,100,mc,2,0.21799853391655744,4.46198488153834,0.043037978137830904,9.297026862209757
12,100,mc,3,0.1835114124579886,3.3812523371881094,0.03691816750588955,17.826484655936415
13,100,mc,4,0.07541897737398232,4.2360838746679415,0.0,17.883006632130606
14,100,mc,5,0.12056510586320181,5.033014592228159,0.0025114755990997793,20.570814704696343
15,100,fci,1,0.09450427942848139,3.848990767574323,0.0,32.471117521185754
16,100,fci,2,0.06884896314001798,3.328976468003467,0.0,19.37730337097578
17,100,fci,3,0.0822615212352276,2.505987459986475,0.0007488474079861335,36.44013280468951
18,100,fci,4,0.10562385011563231,2.3511958110594158,0.0,40.00787149638577
19,100,fci,5,0.11041548653272222,3.196683061923194,0.0,35.31626442713619
